sxc | application/vnd.sun.xml.calc
svgz | image/svg+xml
uu | text/x-uuencode
sxg | application/vnd.sun.xml.writer.global
opf | application/oebps-package+xml
sxi | application/vnd.sun.xml.impress
xap | application/x-silverlight-app
qti | image/x-quicktime
xar | application/vnd.xara
sxm | application/vnd.sun.xml.math
c11amc | application/vnd.cluetrust.cartomobile-config
mlp | application/vnd.dolby.mlp
sxw | application/vnd.sun.xml.writer
qtif | image/x-quicktime
xbd | application/vnd.fujixerox.docuworks.binder
kia | application/vnd.kidspiration
xbm | image/x-xbitmap
aiff | audio/x-aiff
mmd | application/vnd.chipnuts.karaoke-mmd
sgml | text/sgml
mmf | application/vnd.smaf
aifc | audio/x-aiff
gac | application/vnd.groove-account
ief | image/ief
wg | application/vnd.pmi.widget
gam | application/x-tads
mmr | image/vnd.fujixerox.edmics-mmr
wm | video/x-ms-wm
bz2 | application/x-bzip2
davmount | application/davmount+xml
ifb | text/calendar
org | application/vnd.lotus-organizer
mng | video/x-mng
wmls | text/vnd.wap.wmlscript
dataless | application/vnd.fdsn.seed
mp2 | audio/mpeg
mp1 | audio/mpeg
mp4 | video/mp4
ifm | application/vnd.shana.informed.formdata
mp3 | audio/mpeg
xm | audio/xm
gbr | application/rpki-ghostbusters
xo | application/vnd.olpc-sugar
z1 | application/x-zmachine
z2 | application/x-zmachine
mny | application/x-msmoney
z3 | application/x-zmachine
wmlc | application/vnd.wap.wmlc
z4 | application/x-zmachine
xdf | application/xcap-diff+xml
z5 | application/x-zmachine
z6 | application/x-zmachine
z7 | application/x-zmachine
z8 | application/x-zmachine
qwd | application/vnd.quark.quarkxpress
xdm | application/vnd.syncml.dm+xml
xz | application/x-xz
osf | application/vnd.yamaha.openscoreformat
gca | application/x-gca-compressed
xdp | application/vnd.adobe.xdp+xml
conf | text/plain
xdw | application/vnd.fujixerox.docuworks
igm | application/vnd.insors.igm
sisx | application/vnd.symbian.install
igl | application/vnd.igloader
qwt | application/vnd.quark.quarkxpress
mp21 | application/mp21
igs | model/iges
mov | video/quicktime
kpxx | application/vnd.ds-keypoint
qxb | application/vnd.quark.quarkxpress
igx | application/vnd.micrografx.igx
qxd | application/vnd.quark.quarkxpress
mpa | audio/mpeg
otc | application/vnd.oasis.opendocument.chart-template
otf | application/x-font-otf
zip | application/zip
mpc | application/vnd.mophun.certificate
oth | application/vnd.oasis.opendocument.text-web
zir | application/vnd.zul
7z | application/x-7z-compressed
mpe | video/mpeg
otg | application/vnd.oasis.opendocument.graphics-template
qxl | application/vnd.quark.quarkxpress
xer | application/patch-ops-error+xml
mpg | video/mpeg
oti | application/vnd.oasis.opendocument.image-template
thmx | application/vnd.ms-officetheme
mpn | application/vnd.mophun.application
otp | application/vnd.oasis.opendocument.presentation-template
mpm | application/vnd.blueice.multipass
mpp | application/vnd.ms-project
qxt | application/vnd.quark.quarkxpress
gdl | model/vnd.gdl
ott | application/vnd.oasis.opendocument.text-template
ots | application/vnd.oasis.opendocument.spreadsheet-template
mpt | application/vnd.ms-project
osfpvg | application/vnd.yamaha.openscoreformat.osfpvg+xml
mpy | application/vnd.ibm.minipay
taglet | application/vnd.mynfc
x3dvz | model/x3d+vrml
flac | audio/flac
iif | application/vnd.shana.informed.interchange
kml | application/vnd.google-earth.kml+xml
m13 | application/x-msmediaview
geo | application/vnd.dynageo
dart | application/vnd.dart
